payment_id,order_id,amount,payment_date,payment_method,status
PM0000036,O0000036,, ,32-13-2025,paid
N/A,@@@,4039.91,2025-02-20T02:49:03,@@@,###BAD###
N/A,O0000038,2899.88,not_a_date,netbanking,NULL
not_a_date,O0000039,3346.28,2025-02-22T01:19:33,9999-99-99,paid
PM0000040,invalid,1386.39,2024-03-28T04:03:43,cod,paid
 ,O0000041,9999-99-99,2025-10-30T02:14:27,9999-99-99,paid
123abc,O0000042,729.96,2024-11-19T02:30:36,cod,NULL
PM0000043,O0000043,4230.72,2025-03-27T16:27:49,123abc,paid
PM0000044,O0000044,2972.96,2024-02-10T15:25:41,netbanking,9999-99-99
NULL,,,2024-06-29T13:20:43,card,paid
null,O0000046,5259.28,2025-04-27T13:23:22,upi,paid
not_a_date,@@@,nan,2024-09-16T05:22:39,cod,
PM0000048,O0000048,1835.65,2023-04-02T07:12:43,null,paid
PM0000049,,9999-99-99,2023-04-22T07:39:59,upi,nan
PM0000050,N/A,null,2023-08-16T09:28:30, ,paid
PM0000051,32-13-2025,7483.58,NULL,netbanking,paid
PM0000052,O0000052,8458.29,2023-03-31T08:10:03,upi,paid
###BAD###,O0000053,null,2023-01-18T02:24:42, ,paid
PM0000054,32-13-2025,5954.74,2024-08-22T20:24:14,card,paid
PM0000055,O0000055,@@@,2023-06-30T05:12:32,###BAD###,###BAD###
PM0000056,O0000056,2048.15,2024-09-16T10:31:25,card,paid
PM0000057,O0000057,3037.71,2024-12-21T11:40:19, ,paid
PM0000058,O0000058,9999-99-99,123abc,upi,paid
null,32-13-2025, ,2024-11-30T12:42:08,cod,paid
not_a_date,O0000060,7435.36,2024-05-07T18:09:27,upi,paid
PM0000061,O0000061,521.45,2023-09-27T06:41:08,null,NULL
PM0000062,,123abc,###BAD###,invalid,N/A
PM0000063,123abc,not_a_date,###BAD###,card,paid
PM0000064,O0000064,123abc,NULL,upi, 
PM0000065,O0000065,300.27,2024-01-20T03:08:11,upi,not_a_date
32-13-2025,123abc,3344.38,2024-04-20T07:43:01,cod,9999-99-99
invalid,O0000067,3908.34,2025-08-18T22:41:23,cod,paid
123abc,O0000068,8505.73,2023-10-09T05:12:14,card,paid
PM0000069,9999-99-99,3169.58,2025-04-25T07:47:42,netbanking,paid
PM0000070,O0000070,8397.34,null,NULL,invalid
PM0000071,N/A,8261.07,123abc,upi,###BAD###
PM0000072,O0000072,2737.44,123abc,invalid,9999-99-99
PM0000073,O0000073,null,2025-03-21T23:02:35,card,paid
,O0000074,2673.17,32-13-2025,upi,123abc
PM0000075,not_a_date,5794.25,2025-05-15T09:39:58,netbanking,123abc
@@@,O0000076,7246.81,2025-07-14T02:46:32,netbanking,paid
NULL, ,5204.34,null,netbanking,###BAD###
PM0000078,null,1527.46,invalid,netbanking,32-13-2025
PM0000079,9999-99-99,2427.63,2023-08-22T22:28:40,cod,paid
PM0000080,###BAD###,1803.9,9999-99-99,netbanking,###BAD###
PM0000081,O0000081,2261.65,2023-10-24T05:49:45,upi,N/A
PM0000082,O0000082,nan,2025-07-02T09:40:11,netbanking,invalid
123abc,O0000083,123abc,2024-06-02T00:29:31,###BAD###,paid
PM0000084,O0000084,946.62,123abc,cod,paid
nan,N/A,2035.04,2023-01-14T07:56:35,nan,paid
32-13-2025,O0000086,4006.01,2023-10-31T01:41:22,###BAD###,paid
###BAD###,N/A,@@@,2023-06-29T01:06:26, , 
PM0000088,###BAD###,1511.99,N/A,card,paid
PM0000089,@@@,9291.15,2024-09-04T10:23:57,N/A,paid
PM0000090,9999-99-99,1541.89,invalid,invalid,not_a_date
###BAD###,NULL,620.47,123abc,card,paid
PM0000092,O0000092,4286.5,2023-06-29T15:46:44, ,paid
###BAD###,O0000093,32-13-2025,nan,nan,paid
PM0000094,O0000094,32-13-2025,2025-10-13T16:46:40,32-13-2025,not_a_date
9999-99-99,O0000095,3936.11,,card,paid
PM0000096,O0000096, ,2025-04-29T13:02:21,netbanking,paid
N/A,invalid,,2024-02-17T22:18:16,upi,refunded
NULL,nan,4135.93,2024-10-25T00:07:43,nan,paid
PM0000099,###BAD###,3206.1,32-13-2025,cod,invalid
PM0000100,nan,6439.22,32-13-2025,cod,###BAD###
,O0000101,4136.9,2025-04-27T23:03:53,upi,paid
PM0000102,O0000102,705.39,2024-11-10T11:04:09,null,paid
invalid,O0000103,invalid,2023-12-06T18:38:24,123abc,paid
PM0000104,O0000104,2014.86,,cod,paid
not_a_date,O0000105,5139.22,2025-07-14T09:13:33,card,paid
null,O0000106,8357.68,123abc,32-13-2025,paid
PM0000107,O0000107,1937.79,2025-10-21T04:12:21,upi,paid
nan,O0000108,5032.88,not_a_date,,null
PM0000109,,3681.32,2023-08-26T00:19:59,card,9999-99-99
9999-99-99,O0000110,3309.36,2023-04-05T03:33:49,upi,paid
NULL, ,1413.3,@@@,netbanking,nan
N/A,###BAD###,329.35,2024-10-15T14:42:07,netbanking,###BAD###
###BAD###,O0000113,2742.51,2023-02-01T19:35:32,upi,123abc
PM0000114,O0000114,not_a_date,2023-10-17T22:51:18,netbanking,32-13-2025
PM0000115,O0000115,2396.78,2024-11-24T17:28:03,cod,paid
,O0000116,1834.93,2025-02-24T01:05:27,N/A,N/A
PM0000117,O0000117,invalid,N/A,card,paid
PM0000118,###BAD###,nan,,NULL,paid
PM0000119,O0000119,5897.44,2024-09-27T21:41:45,nan,null
PM0000120,###BAD###,@@@,@@@,nan,paid
PM0000121,O0000121,1186.74,2024-11-07T10:29:31,cod,not_a_date
PM0000122,O0000122,N/A,2025-09-07T14:54:10,upi, 
PM0000123,O0000123,619.39,32-13-2025,upi,refunded
PM0000124,N/A,4380.25,2024-09-10T17:29:25,###BAD###,123abc
PM0000125,###BAD###,1049.5,###BAD###,cod,9999-99-99
PM0000126,###BAD###,1433.52,2024-12-01T17:44:15,card,paid
PM0000127,O0000127,5913.88,2025-08-06T10:35:06,invalid,paid
PM0000128,9999-99-99,2697.55,@@@,cod,paid
@@@,O0000129,3717.68,2023-05-06T02:13:52,card,paid
PM0000130,O0000130,4021.21,2023-11-02T14:34:18,N/A,###BAD###
32-13-2025,O0000131,3447.27,2024-10-10T09:36:50,upi,paid
invalid,O0000132,1471.99,NULL,cod,paid
PM0000133,O0000133,1178.43,nan,card,not_a_date
nan, ,invalid,2025-01-05T03:55:18,netbanking, 
@@@,9999-99-99,4130.75,###BAD###,@@@,paid
PM0000136,null,525.19,2024-03-08T21:11:30,cod,paid
32-13-2025,invalid,2501.73, ,netbanking,32-13-2025
PM0000138,O0000138, ,###BAD###,nan,paid
PM0000139,O0000139,4490.31, ,cod,32-13-2025
PM0000140,invalid,7863.08,9999-99-99, ,paid
NULL,O0000141,nan,null,upi,paid
PM0000142,@@@,3784.76,2025-01-21T01:02:36,upi,paid
PM0000143,O0000143,3737.83,@@@,upi,paid
NULL,123abc,4150.89,2023-06-10T16:56:39,NULL,123abc
N/A,O0000145,3554.7,2024-10-01T19:03:57,card,paid
PM0000146,O0000146,746.81,2025-08-18T18:46:21,123abc,paid
PM0000147,O0000147,4114.04,2023-03-14T22:59:38,9999-99-99,
@@@,O0000148,4817.7,null,not_a_date, 
###BAD###,O0000149,123abc,2025-09-19T02:08:32,NULL, 
PM0000150,O0000150,NULL,2024-07-29T08:54:16,@@@,###BAD###
###BAD###,O0000151,5531.61,2023-11-06T21:28:23,upi,paid
@@@,O0000152,123abc,123abc,N/A,paid
PM0000153,32-13-2025,667.96,2023-11-12T15:48:26,netbanking,refunded
PM0000154,O0000154,8661.94,2023-12-09T06:36:46,card,paid
N/A,not_a_date,8226.9,,not_a_date,paid
PM0000156,O0000156,6773.52,2024-04-23T12:43:45,@@@,paid
nan,O0000157,348.72,2025-06-09T00:18:59,cod,
PM0000158,O0000158,4255.68,2023-03-26T03:58:34, ,paid
PM0000159,,4193.03,2024-07-07T08:51:06,cod,paid
PM0000160,O0000160,###BAD###, ,9999-99-99,refunded
PM0000161,O0000161,123abc,2023-01-22T21:00:53,cod, 
PM0000162,NULL,7082.2,123abc,upi,9999-99-99
not_a_date,O0000163,144.67,N/A,not_a_date,paid
###BAD###,invalid,nan,2023-09-03T02:54:38,netbanking,NULL
PM0000165,O0000165,4452.66,9999-99-99,card,
PM0000166,123abc,,2024-07-20T13:44:57,upi,paid
PM0000167,not_a_date,invalid,123abc,32-13-2025,N/A
PM0000168,O0000168,749.6,,not_a_date,###BAD###
PM0000169,not_a_date,3134.52,invalid,netbanking,9999-99-99
PM0000170,NULL,NULL,2025-06-23T22:16:06,NULL,paid
PM0000171,null,465.18,not_a_date,###BAD###,paid
PM0000172,O0000172,483.23,2025-03-10T08:09:44,null,paid
PM0000173,O0000173,301.84,null,null,32-13-2025
@@@,O0000174, ,2025-02-26T22:52:49,nan,paid
PM0000175,O0000175,2935.61,2024-09-12T12:03:40,card,paid
PM0000176,O0000176,2509.62,32-13-2025,upi,refunded
@@@,O0000177,2241.88,nan,cod,paid
null,invalid,9999-99-99,2025-01-05T15:05:56,netbanking,paid
PM0000179,O0000179,12525.29,2024-01-31T00:46:37,cod,paid
PM0000180,O0000180,N/A,invalid,card,paid
PM0000181,null,3887.5,@@@,N/A,paid
PM0000182,,3327.14,32-13-2025,@@@,nan
PM0000183,O0000183,NULL,2023-10-17T15:41:01,card,not_a_date
PM0000184,O0000184,8518.61,nan,upi,paid
PM0000185,123abc,3464.34,NULL,card,paid
PM0000186,O0000186,7512.88,###BAD###,cod,32-13-2025
invalid,O0000187,N/A,###BAD###,null,paid
PM0000188,O0000188,2821.07,2023-05-10T03:17:09,netbanking, 
PM0000189,O0000189,nan,2023-12-04T14:15:59,netbanking,paid
PM0000190,invalid,3861.11,2025-02-09T05:01:56,9999-99-99,32-13-2025
###BAD###,@@@,2934.25,2023-07-02T22:41:37,9999-99-99,paid
32-13-2025,O0000192,4647.06,2023-09-17T06:09:40,cod,32-13-2025
PM0000193,32-13-2025,NULL,N/A,cod,paid
PM0000194,O0000194,1386.39,2024-09-08T11:26:00,netbanking,N/A
PM0000195,O0000195,9999-99-99,null,netbanking,refunded
null,O0000196,NULL,123abc,netbanking,paid
NULL,O0000197,6143.79,N/A,N/A,paid
PM0000198,,123abc,32-13-2025,@@@,paid
N/A,O0000199,4773.06,2023-04-18T17:11:10,123abc,not_a_date
PM0000200,O0000200,4501.66,2024-04-26T23:28:37,invalid,9999-99-99
###BAD###,O0000201,2773.29,2024-10-29T07:49:07,@@@,###BAD###
PM0000202,O0000202,1247.59,NULL,cod,###BAD###
PM0000203,O0000203,1965.52,nan,netbanking,paid
PM0000204,9999-99-99,@@@,@@@,upi,paid
PM0000205,O0000205,4053.11,@@@,not_a_date,paid
PM0000206,O0000206,4866.94,2025-08-11T14:26:10,netbanking,###BAD###
PM0000207,O0000207,###BAD###,NULL,netbanking,@@@
PM0000208,O0000208,3763.07,2025-09-28T06:37:30,nan,paid
PM0000209,9999-99-99,1484.55,2025-05-26T23:55:15,cod,32-13-2025
32-13-2025,invalid,3607.89,2023-11-02T18:57:00,card,paid
PM0000211,O0000211,null,2025-10-29T01:27:33,card,paid
PM0000212,O0000212,8342.94,123abc,123abc, 
PM0000213,O0000213,123abc,nan,card,paid
9999-99-99,O0000214,6804.24,N/A,card,invalid
PM0000215,###BAD###,4408.7,9999-99-99,upi,refunded
PM0000216,not_a_date,886.47,,upi,9999-99-99
PM0000217,O0000217,975.53,9999-99-99,@@@,9999-99-99
###BAD###,O0000218,4897.97,2024-11-18T23:59:03,upi,null
PM0000219,123abc,nan,null,upi,paid
PM0000220,O0000220,32-13-2025,2023-05-18T17:45:49,upi,paid
32-13-2025,O0000221,N/A,2023-08-21T20:30:47,N/A,9999-99-99
nan,O0000222,123abc,,card,paid
9999-99-99,O0000223,not_a_date,@@@,123abc,paid
PM0000224,###BAD###,4016.54,not_a_date,NULL,refunded
###BAD###,O0000225,@@@,NULL,upi,not_a_date
32-13-2025,O0000226,320.1,2023-12-04T08:07:44,netbanking,123abc
PM0000227,O0000227,3587.26,2023-02-16T09:26:43,netbanking,NULL
invalid,O0000228,176.18,2025-05-10T14:47:41,N/A,paid
PM0000229,32-13-2025,7923.41,123abc,upi,paid
@@@,null,312.67,2025-06-30T14:19:36,9999-99-99,paid
PM0000231,123abc,nan,NULL,card,NULL
PM0000232,O0000232,123abc,@@@,,paid
PM0000233,O0000233, ,,nan,N/A
PM0000234,###BAD###,3763.07,2023-08-28T01:20:36,upi,paid
PM0000235,O0000235,2216.6,###BAD###,upi,paid
nan,O0000236,5354.13,2025-07-07T17:10:34,card,
PM0000237,N/A,@@@,2025-10-19T04:29:59,card,N/A
,O0000238,4223.54,not_a_date,netbanking,paid
PM0000239,not_a_date,not_a_date,nan,card,paid
32-13-2025,123abc,4855.26,32-13-2025,card,paid
PM0000241, ,1061.15,2024-02-04T18:33:14,upi,refunded
PM0000242, ,###BAD###,2023-06-21T17:54:28,card,paid
PM0000243,O0000243,4741.34,9999-99-99,###BAD###,@@@
32-13-2025,not_a_date,2761.07,###BAD###,upi,paid
not_a_date,@@@,1636.72,2024-12-07T11:19:28,card,paid
PM0000246,NULL,15130.67,2025-06-28T23:26:51,netbanking,paid
PM0000247,invalid,32-13-2025,32-13-2025,netbanking,not_a_date
PM0000248,O0000248,15427.19,2025-08-30T16:21:04,cod,paid
PM0000249,9999-99-99,6972.02,2025-04-18T20:58:17,cod,paid
PM0000250,9999-99-99,5137.64,2024-01-16T12:18:35,upi,paid
not_a_date,O0000251,2050.29,2025-08-07T07:01:50,32-13-2025,32-13-2025
PM0000252,O0000252,32-13-2025,2025-08-25T03:41:42,cod,nan
PM0000253,O0000253,5021.53,@@@,card,paid
,32-13-2025,3905.76,@@@,N/A,paid
PM0000255,O0000255,2960.51,2023-02-05T08:10:37,upi,paid
invalid,O0000256,3656.81,null,not_a_date,paid
123abc,null,8809.1,nan,N/A,paid
nan,9999-99-99,1994.04,,upi,null
PM0000259,O0000259,2902.58,32-13-2025,netbanking,NULL
@@@,invalid,1381.12,2024-07-30T11:49:31,invalid,paid
PM0000261, ,288.76,2023-11-13T16:14:53,card,123abc
PM0000262,O0000262,9658.04,2023-06-06T03:52:08,NULL,paid
PM0000263,9999-99-99,invalid,@@@,nan,paid
PM0000264,O0000264,2902.58,NULL,invalid,N/A
PM0000265,O0000265,8108.11,2024-04-09T09:08:13,32-13-2025,paid
PM0000266,O0000266,8392.64,2023-08-17T02:01:49,cod,paid
32-13-2025,O0000267,NULL,2023-08-09T01:50:42,card,not_a_date
@@@,123abc,9999-99-99,2024-06-02T01:04:19,32-13-2025,paid
invalid,O0000269,@@@,2024-02-25T18:57:12,invalid,invalid
PM0000270,O0000270,###BAD###,2023-10-26T23:17:37,netbanking,
PM0000271,###BAD###,,2023-05-20T03:52:37,,N/A
PM0000272,O0000272,32-13-2025,nan,not_a_date,
PM0000273,O0000273,6346.64,NULL,invalid,paid
PM0000274,O0000274,nan,2023-08-08T05:53:22,null,N/A
PM0000275,O0000275,3183.57,2024-04-11T13:07:48, ,paid
PM0000276,9999-99-99,@@@,2023-10-06T15:48:23,card,N/A
9999-99-99,NULL,###BAD###,2025-10-08T03:24:18,upi,paid
PM0000278,O0000278,1122.83,123abc,card,paid
PM0000279,O0000279,@@@,@@@,NULL,paid
PM0000280,O0000280,###BAD###,2023-06-24T03:09:25,card,paid
PM0000281,O0000281,9999-99-99,N/A,cod,32-13-2025
PM0000282,N/A,3901.46,2025-05-19T23:31:17,upi,refunded
PM0000283,O0000283,6688.76,2025-09-01T21:38:25,@@@,paid
PM0000284,O0000284,3534.66,invalid,netbanking,paid
PM0000285,O0000285,9006.09,,card,
###BAD###,null,nan,2024-10-31T04:19:39,9999-99-99,nan
PM0000287,O0000287,NULL,###BAD###,@@@,
PM0000288,32-13-2025,NULL,2023-02-06T01:27:56,cod,32-13-2025
,O0000289,123abc,NULL,upi,paid
null,invalid,not_a_date,123abc,card,
invalid,O0000291,not_a_date,2025-08-20T15:35:54,card,paid
PM0000292,O0000292,3066.71,2025-10-10T18:24:39,upi,###BAD###
PM0000293,O0000293,4515.59,2023-02-27T18:02:08,,123abc
invalid,invalid, ,2024-11-29T12:06:27,upi,invalid
,9999-99-99,1383.5,2023-04-26T21:15:15,upi,###BAD###
PM0000296,O0000296,617.87,2023-05-15T09:07:21,upi,paid
PM0000297,32-13-2025,9999-99-99,not_a_date,card,null
PM0000298,O0000298,not_a_date,2023-02-15T10:24:36,###BAD###,paid
PM0000299,O0000299,NULL,nan,,paid
PM0000300,@@@,142.44,null,card,paid
PM0000301,O0000301,3826.45,2024-06-27T01:19:36,N/A,paid
NULL,O0000302,, ,cod,null
PM0000303,O0000303,123abc, ,123abc,paid
123abc,@@@,1361.19,2024-10-03T06:26:25,cod,paid
PM0000305,O0000305,@@@,,cod, 
PM0000306,O0000306,32-13-2025,@@@,cod,paid
PM0000307,32-13-2025,3746.43,2024-02-15T11:29:09,not_a_date,nan
PM0000308,O0000308,3006.7,null,upi,paid
PM0000309,O0000309,4778.51,invalid,,paid
PM0000310,O0000310,3702.64,2024-01-29T00:15:51,cod,paid
PM0000311,O0000311,3360.46,2025-06-12T13:41:57,netbanking,paid
PM0000312,O0000312,13186.71,not_a_date,9999-99-99,invalid
PM0000313,O0000313,4223.54,2025-09-22T00:03:55,upi, 
PM0000314,O0000314,9381.89,invalid,card,paid
PM0000315,O0000315, , ,card,paid
invalid,NULL,32-13-2025,2023-07-04T07:38:07,null,refunded
@@@,9999-99-99,2779.1,2025-03-09T23:47:15,netbanking,paid
PM0000318,O0000318,463.44,2023-12-25T06:17:28,card,paid
PM0000319,O0000319,null,2025-02-06T22:07:20,N/A, 
NULL, ,1038.76,9999-99-99,upi,paid
PM0000321,O0000321,4377.0,2023-03-13T23:42:51,netbanking,paid
not_a_date,O0000322,###BAD###,null,card,paid
PM0000323,O0000323,7811.52, ,not_a_date,paid
PM0000324,O0000324,32-13-2025,2024-04-27T09:13:55,cod,paid
null,O0000325,N/A,2025-04-12T01:17:55,cod,123abc
PM0000326,O0000326,2531.13,2025-04-25T10:45:27,,paid
PM0000327,not_a_date,NULL,2024-06-18T16:04:22,@@@,32-13-2025
PM0000328,O0000328,1521.33,NULL,cod,N/A
PM0000329,not_a_date,10282.5,2025-03-31T06:40:19,123abc,paid
PM0000330,123abc,4237.77,32-13-2025,N/A,NULL
PM0000331,O0000331,###BAD###,2024-10-16T14:30:55,9999-99-99,
PM0000332,O0000332,2575.92,2024-11-01T09:12:05,netbanking,paid
N/A,O0000333,3063.42,2025-02-11T18:14:01,netbanking,paid
PM0000334,O0000334,nan, ,card,paid
N/A,###BAD###,920.27,2025-05-28T19:16:09,upi,paid
PM0000336,9999-99-99, ,invalid,cod,paid
PM0000337,nan,9999-99-99,@@@,upi,paid
PM0000338,O0000338,###BAD###,@@@,NULL,paid
PM0000339,O0000339,4809.66,2024-01-23T13:11:26,9999-99-99,invalid
PM0000340,@@@,4182.04,2024-06-20T07:39:28,upi,paid
PM0000341,O0000341,1784.35,2023-01-22T15:08:55,,paid
nan,O0000342,null,N/A,card,N/A
PM0000343,,550.49,@@@,upi,not_a_date
PM0000344,9999-99-99,invalid,2024-06-03T16:39:24,cod,paid
NULL,O0000345,2650.81,32-13-2025,null,paid
123abc,###BAD###,502.27,9999-99-99,cod,paid
PM0000347,9999-99-99,1355.56,2023-08-28T10:02:08,upi,paid
PM0000348,,NULL,2025-05-30T09:57:56,upi,paid
PM0000349,invalid,2540.47,2023-12-04T10:47:31,9999-99-99,refunded
PM0000350,O0000350,###BAD###,nan,cod, 
N/A,,2291.59,2025-08-14T13:07:57,###BAD###,paid
PM0000352,O0000352,1590.89,not_a_date,netbanking,paid
PM0000353,O0000353,invalid,9999-99-99,invalid,paid
PM0000354,O0000354,211.24,32-13-2025,, 
PM0000355,O0000355,3515.18,invalid,upi,paid
9999-99-99,O0000356,###BAD###,2023-09-07T12:23:37,card,paid
PM0000357,O0000357, ,null,cod,invalid
PM0000358,invalid,2281.86,2024-07-05T19:42:00,@@@,123abc
PM0000359,O0000359,NULL,2023-09-22T06:55:03,upi,@@@
PM0000360, ,2539.06,N/A,cod,paid
NULL,O0000361,4264.37,2024-06-06T05:15:49,card,paid
null,O0000362,1413.3,invalid,netbanking,nan
PM0000363,@@@,2917.86,NULL,netbanking,paid
,9999-99-99,3387.08,NULL,9999-99-99,paid
PM0000365,O0000365,nan,NULL,NULL,paid
PM0000366, ,invalid,2025-05-22T02:02:32,cod,paid
not_a_date,O0000367, ,2023-11-14T15:33:40,card,nan
PM0000368,32-13-2025,1538.75,invalid,netbanking,paid
PM0000369,O0000369,, ,32-13-2025,invalid
PM0000370,O0000370,1637.14,2023-04-03T16:06:32,card,paid
null,O0000371,3056.22,2024-06-02T11:16:37,nan,paid
PM0000372,O0000372,not_a_date,2025-08-05T05:50:11,card,paid
123abc,invalid,not_a_date,2024-09-01T10:37:46,cod,nan
9999-99-99,N/A,3056.22,2024-01-19T06:11:05,upi,paid
NULL,123abc,2518.17,2023-02-06T00:25:07,cod,paid
PM0000376,,32-13-2025,2025-04-09T21:47:38,upi,paid
PM0000377,O0000377,123abc,2025-03-19T09:05:08,NULL,paid
PM0000378,O0000378,N/A,2023-02-02T22:12:54,123abc,paid
PM0000379, ,invalid,not_a_date,netbanking,###BAD###
PM0000380,O0000380,884.14,2025-08-07T04:30:27,nan,paid
PM0000381,null,null,2025-06-30T15:30:01, ,paid
32-13-2025,9999-99-99,2768.04,2025-03-13T01:21:00,cod,9999-99-99
PM0000383,nan,1527.46,2025-10-12T23:37:38,9999-99-99,paid
PM0000384,O0000384,nan,invalid,123abc,9999-99-99
PM0000385,O0000385,10157.59,9999-99-99,32-13-2025,paid
PM0000386,O0000386,4905.76,2025-05-04T15:07:31,upi,paid
@@@,O0000387,invalid, ,cod,paid
PM0000388,@@@,788.27,not_a_date,@@@,not_a_date
,O0000389,@@@,NULL,###BAD###,paid
123abc,O0000390,,###BAD###,card,paid
PM0000391,123abc,invalid,2023-12-21T06:10:38,cod,paid
PM0000392,O0000392,null,32-13-2025,upi,paid
NULL,,997.02,123abc,not_a_date,paid
PM0000394, ,,null,netbanking,32-13-2025
PM0000395,O0000395,926.75,2024-11-27T11:49:02,upi,nan
PM0000396,O0000396,5463.45,2023-08-02T22:03:59,cod,123abc
null,O0000397,123abc, ,32-13-2025,paid
PM0000398,O0000398,invalid,123abc,upi,paid
PM0000399,O0000399,1477.98,2024-08-21T22:28:48,###BAD###,@@@
PM0000400,null,5847.11, ,netbanking,paid
PM0000401,O0000401,2634.63,nan, ,paid
PM0000402,O0000402,7462.28,null,@@@,nan
PM0000403,O0000403,4624.76,2024-05-17T04:48:48,netbanking,paid
@@@,O0000404,4705.08,NULL,###BAD###,paid
32-13-2025,O0000405,1700.85,N/A,invalid,paid
PM0000406,123abc,3543.62,not_a_date,cod,paid
not_a_date,O0000407, , ,upi,
@@@,@@@,not_a_date,N/A,NULL,invalid
PM0000409,O0000409,4847.22,N/A,NULL,paid
null,32-13-2025,32-13-2025,2025-04-08T06:56:19,upi,paid
PM0000411,O0000411,264.59,invalid,upi,paid
PM0000412,O0000412,5909.77,2023-11-24T00:01:56,upi,refunded
32-13-2025,O0000413,8178.36,invalid,card,paid
PM0000414,O0000414,8364.0,2024-12-26T03:03:48, ,paid
PM0000415,null,32-13-2025,not_a_date,netbanking,32-13-2025
PM0000416,O0000416,613.25,@@@,netbanking,null
PM0000417,O0000417,991.84,2024-05-22T03:20:33,upi,123abc
PM0000418,O0000418,6823.38,2023-10-28T22:27:53,card,paid
PM0000419,O0000419,4527.26,2023-09-24T15:13:28,N/A,paid
null,O0000420,7722.31,,cod,paid
PM0000421,O0000421,32-13-2025,2025-05-03T05:09:32,cod,paid
32-13-2025,32-13-2025,6852.11,2023-08-30T22:13:29,netbanking,
PM0000423,null,517.96,2023-09-01T19:54:26,N/A,paid
123abc,null,459.07,null,not_a_date,paid
9999-99-99,O0000425,593.94,2023-02-27T04:09:50, ,paid
nan,O0000426,946.62,2024-08-03T06:11:52,card,paid
PM0000427,O0000427,4114.04,2024-12-15T02:55:02,upi,paid
, ,123abc,2024-11-22T12:30:53,netbanking,
 ,O0000429,183.01,nan,upi,paid
invalid,O0000430,1406.19,2025-04-18T12:14:57,card,null
PM0000431,O0000431, ,2024-07-22T20:05:55,card,123abc
N/A,null,3251.02,@@@,card,32-13-2025
PM0000433,O0000433,123abc,@@@,9999-99-99,NULL
PM0000434,O0000434,nan,32-13-2025,cod,paid
PM0000435,not_a_date,3496.93,###BAD###,card,NULL
PM0000436,O0000436,8277.09,2024-01-05T13:01:55,cod,
@@@,invalid,null,###BAD###,netbanking,paid
PM0000438,O0000438,7169.48,2023-07-03T04:19:26,,paid
123abc,###BAD###,9999-99-99,2023-02-25T22:03:19,32-13-2025,paid
123abc, ,###BAD###,N/A,###BAD###,paid
PM0000441,invalid,@@@, ,card,paid
PM0000442,O0000442,8538.07,invalid, ,NULL
nan,9999-99-99,@@@,not_a_date,card,paid
N/A,32-13-2025,3827.93,2023-09-15T09:36:26,netbanking,not_a_date
PM0000445,9999-99-99,null,123abc,,paid
PM0000446,9999-99-99,nan,invalid,nan,paid
32-13-2025,O0000447,6323.01,2025-09-14T08:38:16,cod,123abc
9999-99-99,O0000448,3617.39,,netbanking,###BAD###
PM0000449,O0000449,1780.23,2023-07-03T12:44:07,not_a_date,paid
PM0000450,9999-99-99, ,NULL,9999-99-99,paid
PM0000451,nan,null,2024-05-18T21:20:21,upi,paid
