order_id,customer_id,order_date,status,total_items,payment_method,shipping_city
 ,9999-99-99,2025-02-22T01:19:33,delivered,NULL,netbanking,Pune
NULL,C00515,2024-03-28T04:03:43,@@@,1,###BAD###,nan
9999-99-99,###BAD###,nan,delivered,1,NULL,Bengaluru
null,C00136,NULL,delivered,123abc,N/A,Chennai
null,C00088,2025-03-27T16:27:49,delivered,###BAD###,netbanking,Noida
O0000044,C00573,2024-02-10T15:25:41,delivered,2,netbanking,null
O0000045,NULL,invalid,processing,123abc,@@@,Delhi
9999-99-99,C00688,2025-04-27T13:23:22,delivered,32-13-2025,upi,Mumbai
O0000047,invalid,###BAD###,32-13-2025,nan,cod,123abc
O0000048,invalid,N/A,delivered,null,card,Delhi
not_a_date,C00758,nan,delivered,1,upi,Mumbai
O0000050,C00352,2023-08-16T09:28:30,@@@,1,netbanking,Kolkata
O0000051,C00209,2024-06-13T17:30:39,delivered,3,,32-13-2025
O0000052,not_a_date,2023-03-31T08:10:03, ,123abc,upi,Mumbai
O0000053,,NULL, ,2,@@@,123abc
O0000054,not_a_date,2024-08-22T20:24:14,shipped,2,card,Pune
invalid,C00497,2023-06-30T05:12:32,nan,1,card,Mumbai
O0000056,###BAD###,2024-09-16T10:31:25,NULL,2,###BAD###,32-13-2025
N/A,C00701,@@@,delivered,1,not_a_date,###BAD###
32-13-2025,not_a_date,2024-06-11T12:56:52,shipped, ,upi,Kolkata
O0000059,C00156,2024-11-30T12:42:08,delivered,1,cod,123abc
O0000060,C00428,2024-05-07T18:09:27,shipped, ,upi,Noida
O0000061,C00556,2023-09-27T06:41:08,delivered,not_a_date,,Bengaluru
not_a_date,C00317,###BAD###,delivered,1,netbanking,@@@
,C00070,null,processing,2,null,Pune
O0000064,C00902,@@@,delivered,1,upi,Bengaluru
null,C00798,2024-01-20T03:08:11,delivered,32-13-2025,upi, 
9999-99-99,###BAD###,2024-04-20T07:43:01,delivered,not_a_date,invalid,Bengaluru
O0000067,C00515,9999-99-99,delivered,1,NULL,invalid
O0000068,C00486,2023-10-09T05:12:14,9999-99-99,###BAD###,32-13-2025,nan
O0000069,C00974,@@@,nan,1,netbanking,Delhi
O0000070,C00182,@@@,NULL,invalid,cod,123abc
O0000071,@@@,2025-04-09T01:38:47,returned,2,upi,@@@
###BAD###,nan,2023-03-20T16:06:28,###BAD###,1,card,Kolkata
O0000073,C00532,nan,###BAD###,1,invalid,Kolkata
O0000074,not_a_date,2025-06-19T12:56:19,cancelled,NULL,upi,Noida
O0000075,9999-99-99,invalid,nan,2,netbanking,Noida
O0000076,N/A,2025-07-14T02:46:32,delivered,2,not_a_date,nan
O0000077,C00424,2024-10-24T14:01:11,32-13-2025,2,netbanking,invalid
O0000078,C00093,###BAD###,processing,null,netbanking,Delhi
NULL,C00094,2023-08-22T22:28:40,delivered,1,cod,Bengaluru
O0000080,nan,2025-02-18T01:49:10,processing,not_a_date,@@@,Bengaluru
O0000081,N/A,2023-10-24T05:49:45,null, ,upi,Chennai
N/A,not_a_date,2025-07-02T09:40:11,null,1, ,N/A
O0000083,invalid,2024-06-02T00:29:31, ,1,card,Noida
invalid,C00244,32-13-2025,invalid,1,cod,32-13-2025
O0000085,NULL,2023-01-14T07:56:35,N/A,123abc,null,invalid
null,123abc,2023-10-31T01:41:22,delivered,not_a_date,123abc,invalid
null,C00340,2023-06-29T01:06:26,shipped,2,netbanking,nan
O0000088,N/A,2023-12-30T14:47:37,delivered,1,card,Delhi
O0000089,C00787,2024-09-04T10:23:57,invalid,NULL,not_a_date,Hyderabad
O0000090,C00864,2023-05-13T09:30:08,###BAD###,1,9999-99-99,Pune
,C00540,nan,delivered,1,card,Delhi
O0000092,C00586,123abc,delivered,2,upi,nan
,not_a_date,NULL,nan,2, ,Bengaluru
O0000094,C00630,NULL,@@@,NULL,###BAD###,Kolkata
null,C00726,,delivered,2,card,32-13-2025
O0000096,C00819,2025-04-29T13:02:21,delivered,nan,not_a_date,NULL
O0000097,C00656,9999-99-99,cancelled,1,upi,Chennai
O0000098,C00519,2024-10-25T00:07:43,delivered,not_a_date,cod,Mumbai
O0000099,C00853,2023-12-26T06:21:53,delivered,32-13-2025,cod,Noida
null,null,2023-03-14T20:08:30,delivered,not_a_date,32-13-2025,Pune
O0000101,C00474,123abc,delivered,1,not_a_date,Mumbai
O0000102,@@@,2024-11-10T11:04:09,delivered,1,card,9999-99-99
null, ,not_a_date,delivered,nan,card,Chennai
O0000104,invalid,2024-10-06T22:02:17,delivered,1,N/A,Kolkata
O0000105,123abc, ,delivered,null,card,@@@
not_a_date,invalid,2023-03-18T06:58:05,9999-99-99,@@@,N/A,Noida
O0000107,N/A,2025-10-21T04:12:21,invalid,1,not_a_date,Pune
O0000108,C00147,2023-07-21T16:43:08,nan,2,card,###BAD###
 ,123abc,2023-08-26T00:19:59,delivered,@@@,not_a_date,invalid
invalid,C00479,2023-04-05T03:33:49,delivered,1,upi,###BAD###
O0000111,C00592,2024-10-01T20:57:13,@@@,1,netbanking,Chennai
O0000112,123abc,9999-99-99,delivered,1,netbanking,Chennai
 ,C00118,2023-02-01T19:35:32,,2,upi,Pune
32-13-2025,C00278,2023-10-17T22:51:18,not_a_date,not_a_date,invalid,
O0000115,N/A,2024-11-24T17:28:03,delivered,1,,null
 ,C00109, ,delivered,2,cod,123abc
O0000117,nan,2024-11-11T06:45:48,delivered,null,card,invalid
@@@,###BAD###,2023-09-27T02:52:51,nan,1,cod,Delhi
invalid,C00467,2024-09-27T21:41:45,cancelled,2,cod,Kolkata
O0000120,C00971,2024-04-03T04:55:57,delivered,1,32-13-2025,@@@
O0000121,C00188,2024-11-07T10:29:31,9999-99-99,@@@,cod,###BAD###
not_a_date,C00360,2025-09-07T14:54:10,delivered,2,upi,null
O0000123,NULL,2023-07-30T12:52:45,@@@,invalid,upi,null
O0000124,C00812,123abc,not_a_date,1,N/A,N/A
O0000125,C00562,9999-99-99, , ,invalid,not_a_date
 ,###BAD###,2024-12-01T17:44:15,delivered,,card,invalid
O0000127,C00118,2025-08-06T10:35:06,32-13-2025,2,null,Chennai
,null,2025-04-11T02:38:06,null,2,cod,Pune
N/A,C00507,###BAD###,delivered,1,card,NULL
O0000130,C00677,2023-11-02T14:34:18,delivered,123abc,cod,Kolkata
nan,invalid,32-13-2025,processing,null,upi,Hyderabad
O0000132,C00736,N/A,,not_a_date,cod,Bengaluru
O0000133, ,@@@,delivered,1,card, 
###BAD###,C00721,2025-01-05T03:55:18,not_a_date,1,NULL,Hyderabad
O0000135,C00720,N/A,###BAD###,invalid,cod,null
123abc,nan,2024-03-08T21:11:30,delivered,,32-13-2025,nan
O0000137,C00861,2025-05-04T04:18:55,delivered,1,netbanking,@@@
O0000138,C00074,2023-02-02T04:46:56,not_a_date,2,cod,Bengaluru
O0000139,C00087,@@@,processing,9999-99-99,cod,Bengaluru
O0000140,invalid,2025-05-18T17:52:28,32-13-2025,3,netbanking,Bengaluru
not_a_date,C00435,null,@@@,9999-99-99,32-13-2025,Hyderabad
O0000142,NULL,2025-01-21T01:02:36,delivered,1,nan,Delhi
O0000143,123abc,2025-09-13T22:05:09,@@@,123abc,upi,Noida
O0000144,C00530,2023-06-10T16:56:39,delivered,1,cod,Delhi
O0000145,C00701,###BAD###,delivered,1,###BAD###,123abc
null,C00465,2025-08-18T18:46:21,nan,NULL,upi,123abc
O0000147,C00172,N/A,delivered,1,not_a_date,Mumbai
O0000148,C00645,2025-08-27T18:10:36,delivered,1,upi,123abc
 ,C00294,2025-09-19T02:08:32,delivered,1,upi,@@@
O0000150,C00136,2024-07-29T08:54:16,@@@,null,123abc,Bengaluru
,C00932,2023-11-06T21:28:23,###BAD###,2,,Kolkata
O0000152,C00497,2024-01-06T16:55:02,delivered,1,card,Bengaluru
###BAD###,C00610,32-13-2025,NULL,1,NULL,Noida
O0000154,C00744,9999-99-99,processing,1,null,
O0000155,@@@,NULL,not_a_date,3, ,Noida
N/A,C00765,N/A,delivered,1,@@@,Bengaluru
 ,nan,123abc,cancelled,nan,cod,not_a_date
O0000158,not_a_date,2023-03-26T03:58:34,delivered,not_a_date,cod,invalid
invalid,C00344,2024-07-07T08:51:06,###BAD###,1,cod,Noida
not_a_date,C00792,32-13-2025,nan,nan,not_a_date,Bengaluru
O0000161,C00321,2023-01-22T21:00:53,delivered,1,cod,123abc
O0000162,9999-99-99, ,nan,@@@,upi,Chennai
123abc,C00198,2023-03-11T00:39:05,delivered, ,@@@,Delhi
O0000164,C00726,2023-09-03T02:54:38, ,1,netbanking,Delhi
O0000165,C00713,2024-01-13T08:18:29,delivered,1,nan,NULL
O0000166,32-13-2025,2024-07-20T13:44:57,invalid,2,upi,Chennai
O0000167,C00166,2023-06-01T08:49:03,@@@,1,upi,Mumbai
123abc,C00265,nan,@@@,9999-99-99,null,
O0000169,9999-99-99,NULL,123abc,1,123abc,Delhi
O0000170,N/A,N/A,null,1,card,Chennai
9999-99-99,C00796,2025-07-02T00:57:31,invalid,1,card,@@@
O0000172,C00681,N/A,delivered,N/A,cod,Mumbai
,C00528,invalid,processing,@@@,card,nan
O0000174,C00004,2025-02-26T22:52:49,delivered,1,upi,Pune
O0000175,C00699,2024-09-12T12:03:40,shipped,null,@@@,@@@
###BAD###,32-13-2025,2024-11-27T02:53:29,123abc,1,9999-99-99,Kolkata
O0000177,C00181,2023-03-22T12:42:12,delivered,1,cod,Delhi
,null,invalid,delivered,1,netbanking,Bengaluru
O0000179,C00037,2024-01-31T00:46:37,, ,invalid,32-13-2025
O0000180,C00812,N/A,returned,123abc,card,Mumbai
not_a_date,C00348,2023-04-25T10:50:46,not_a_date,N/A,not_a_date,invalid
O0000182,not_a_date,,delivered,1,netbanking,Delhi
9999-99-99,N/A,123abc,,2,card,Kolkata
,N/A,,,NULL,not_a_date,###BAD###
NULL, ,2023-12-16T18:04:52,,null,card,###BAD###
O0000186,C00610,2024-03-27T02:51:12,delivered,1,cod,Pune
N/A,C00124,2023-10-09T10:53:50,delivered,2,invalid,123abc
N/A,C00344,2023-05-10T03:17:09,9999-99-99,1,123abc,Pune
O0000189,C00567,2023-12-04T14:15:59,NULL,1,123abc,Delhi
O0000190,C00811,2025-02-09T05:01:56,delivered,nan,card,Mumbai
O0000191,C00184, ,processing,123abc,NULL,Noida
O0000192,C00709,###BAD###,delivered,null,123abc,Hyderabad
O0000193,C00245,2023-12-24T19:44:02,32-13-2025,32-13-2025,cod,###BAD###
O0000194,C00643,2024-09-08T11:26:00,N/A,1,netbanking,Delhi
O0000195,C00543,N/A,cancelled,1,32-13-2025,Noida
O0000196,invalid,2024-03-02T08:03:12,delivered,N/A,netbanking,not_a_date
O0000197,C00510,2023-12-28T05:42:59,delivered,2,upi,not_a_date
O0000198,C00215,2025-06-09T08:21:39,9999-99-99,2,cod,32-13-2025
O0000199,C00107,2023-04-18T17:11:10,cancelled,2,cod,Delhi
O0000200,,9999-99-99,9999-99-99,2,cod,Kolkata
 ,C00766,###BAD###,9999-99-99,123abc,null,Kolkata
O0000202,C00756,2025-04-24T06:24:57,delivered,32-13-2025,cod,Noida
O0000203,C00056,2025-06-11T04:13:59,@@@,,netbanking,Hyderabad
NULL,9999-99-99,nan,@@@,9999-99-99,upi,NULL
O0000205,C00344,@@@,delivered,NULL,netbanking,Delhi
O0000206,N/A,2025-08-11T14:26:10,cancelled,null,@@@,Chennai
O0000207,###BAD###,N/A,N/A,1,9999-99-99,Delhi
O0000208,C00422,2025-09-28T06:37:30,processing,1,upi,not_a_date
32-13-2025,C00748,invalid,delivered,not_a_date,cod,Kolkata
O0000210,C00914,2023-11-02T18:57:00,delivered,1,card,Mumbai
O0000211,C00482,nan,delivered,null,card,Noida
123abc,###BAD###, ,delivered,1,cod,Kolkata
O0000213,C00136,2025-01-04T09:15:41,shipped,1,card,Noida
###BAD###,C00686,invalid,###BAD###,null,card,Noida
invalid,,2023-10-11T22:25:11,NULL,2,upi,Noida
,C00721,invalid,processing,null,invalid,Mumbai
123abc,N/A,2025-05-22T08:44:39,delivered,1,netbanking,###BAD###
O0000218,C00636,2024-11-18T23:59:03,delivered,2,null,###BAD###
O0000219,C00114,2025-02-23T11:29:39,delivered,1,upi,invalid
O0000220, ,2023-05-18T17:45:49,123abc,###BAD###,upi,Kolkata
123abc,C00553,2023-08-21T20:30:47,processing, ,netbanking,Kolkata
O0000222,9999-99-99,2024-12-23T08:32:43,delivered,@@@,###BAD###,null
O0000223,123abc,nan, ,1,card,9999-99-99
NULL,invalid,9999-99-99,cancelled,123abc,card,invalid
O0000225,NULL,not_a_date,processing,32-13-2025,not_a_date,Delhi
O0000226,null, ,###BAD###,1,netbanking,Kolkata
9999-99-99,C00534,2023-02-16T09:26:43,delivered,3,@@@,Noida
O0000228,32-13-2025,2025-05-10T14:47:41,delivered,###BAD###,N/A,Delhi
@@@,C00023,2024-04-20T16:41:21,delivered,2,9999-99-99,Pune
O0000230,NULL,2025-06-30T14:19:36,delivered,1,not_a_date, 
null,nan,,N/A,null,card,Bengaluru
O0000232,nan,null,processing,1,upi,invalid
O0000233,C00997,2023-12-26T22:44:57,NULL,,NULL,Bengaluru
O0000234,C00244,invalid,delivered,1,upi,null
O0000235,@@@,123abc,delivered,1,NULL,@@@
O0000236,###BAD###,NULL,delivered,123abc,@@@,Hyderabad
O0000237,C00954,2025-10-19T04:29:59,delivered, ,card,invalid
invalid,9999-99-99,,32-13-2025,1,netbanking,not_a_date
O0000239,nan,2023-08-19T23:30:57,null,###BAD###,card,Chennai
O0000240,C00026,2025-04-02T19:53:14,delivered,NULL,32-13-2025,9999-99-99
O0000241,C00057,2024-02-04T18:33:14,cancelled, ,upi,Kolkata
O0000242,C00024,2023-06-21T17:54:28,delivered,3,NULL,Hyderabad
O0000243,,32-13-2025,,2,card,Pune
O0000244,C00408,2023-10-30T22:54:27,delivered,not_a_date,N/A,123abc
O0000245,C00292,2024-12-07T11:19:28,processing,1,###BAD###,null
NULL,C00746,2025-06-28T23:26:51,N/A,2,not_a_date,Hyderabad
O0000247,C00747,2025-04-28T04:53:37,nan,1,###BAD###,32-13-2025
O0000248,9999-99-99,2025-08-30T16:21:04,processing,3,cod,Delhi
O0000249,C00007, ,delivered,,cod,Bengaluru
O0000250,C00205,2024-01-16T12:18:35,delivered,2,upi,Chennai
O0000251,C00506,2025-08-07T07:01:50,delivered,1,upi,9999-99-99
O0000252,NULL,32-13-2025,processing,,cod,Bengaluru
O0000253,C00504,2024-05-16T00:07:48,delivered,123abc,card,Pune
nan,C00596,2025-09-11T18:27:55,delivered,null,cod,Delhi
O0000255,C00383,,,1,N/A,NULL
O0000256,C00900,2023-10-05T11:10:03,@@@,1,123abc,Pune
 ,C00050,2024-08-16T09:33:40,processing,2,,Bengaluru
O0000258,C00784,@@@,delivered,1,upi,32-13-2025
nan,###BAD###,2025-01-12T03:34:37,delivered,invalid,netbanking,Mumbai
nan,C00141,NULL,invalid,invalid,netbanking,9999-99-99
N/A,C00224,@@@,delivered,1,###BAD###,Hyderabad
O0000262,C00472,2023-06-06T03:52:08,,3,cod,NULL
O0000263,C00320,2025-01-12T04:52:28,N/A,@@@,upi,N/A
O0000264,C00727, ,delivered,1,netbanking,Bengaluru
O0000265,invalid,,delivered,2,card,nan
O0000266,C00708,null, ,###BAD###,N/A,123abc
N/A,C00202,invalid,###BAD###,invalid,card,Noida
 ,C00122,2024-06-02T01:04:19,delivered,2,9999-99-99,Delhi
O0000269,C00943,2024-02-25T18:57:12,delivered,NULL,N/A,123abc
O0000270,C00093,2023-10-26T23:17:37,delivered,123abc,netbanking,Kolkata
nan,C00518,2023-05-20T03:52:37,cancelled,2,123abc,Kolkata
O0000272,NULL,NULL,delivered,invalid,123abc,Kolkata
O0000273,C00943,2025-10-29T22:30:23,delivered,,netbanking,Noida
123abc,9999-99-99,2023-08-08T05:53:22,shipped,2,cod,NULL
###BAD###,@@@,2024-04-11T13:07:48,123abc,1,card,Noida
123abc,@@@,32-13-2025,delivered, ,card,Delhi
O0000277,not_a_date,invalid,delivered,2,upi,Noida
,###BAD###,N/A,123abc,1,card,Noida
O0000279,C00962,nan,invalid,2,NULL,Hyderabad
O0000280,C00449,32-13-2025,delivered,2,card,Bengaluru
@@@,###BAD###,2025-01-14T06:21:12,delivered,nan,cod,Delhi
O0000282,C00239,NULL,cancelled,1,upi,nan
O0000283,C00365,2025-09-01T21:38:25,shipped,1,upi,Bengaluru
O0000284,C00787,not_a_date,delivered,1,netbanking,9999-99-99
O0000285,C00031,@@@, ,1,card,Bengaluru
,C00392,@@@,,N/A,card,Noida
32-13-2025,C00812,2025-08-12T06:18:42,delivered,1,upi,Pune
32-13-2025,9999-99-99,NULL,123abc,1,cod,Noida
O0000289,C00323,N/A,delivered,1,9999-99-99,###BAD###
O0000290,C00504,nan,,1,32-13-2025,Noida
NULL,C00676,NULL,delivered,9999-99-99,card,Hyderabad
O0000292,9999-99-99,2025-10-10T18:24:39,delivered,###BAD###,upi,Pune
invalid,C00063,2023-02-27T18:02:08,processing,null,upi,Mumbai
9999-99-99,not_a_date,N/A,delivered,1,upi,N/A
O0000295,C00360,invalid,delivered,1,upi,Delhi
O0000296,C00933,2023-05-15T09:07:21,delivered,1,upi,Mumbai
O0000297,C00472,2025-05-15T18:32:57,delivered,2,card,Noida
O0000298,C00603,2023-02-15T10:24:36,delivered,9999-99-99,invalid,Noida
###BAD###,C00103,2024-02-26T10:31:32,returned,1,not_a_date,Bengaluru
O0000300,C00630,2024-09-05T11:27:12,delivered,1,not_a_date,Kolkata
32-13-2025,C00295,,delivered,1,netbanking,Delhi
O0000302,C00735, ,delivered,NULL,NULL,@@@
N/A,C00215,2024-12-12T02:41:52,delivered,1,upi,@@@
N/A,C00680,32-13-2025,invalid,N/A,cod,Bengaluru
not_a_date,C00903,2023-02-08T20:45:33,processing,@@@,cod, 
O0000306,not_a_date,2025-08-15T08:59:40,null,3,cod,Mumbai
O0000307,NULL,2024-02-15T11:29:09,delivered,32-13-2025,upi,Hyderabad
O0000308,C00421,2024-10-14T02:40:13,32-13-2025,1,upi,Chennai
O0000309,C00662,2023-11-25T08:43:38,delivered,2,netbanking,9999-99-99
O0000310,C00154,2024-01-29T00:15:51,@@@,1,###BAD###,Noida
32-13-2025,9999-99-99,2025-06-12T13:41:57,delivered,1,netbanking,Chennai
O0000312,9999-99-99,2023-03-01T08:50:51,NULL,1,@@@,
O0000313,C00987,2025-09-22T00:03:55, ,###BAD###,upi,Chennai
N/A,invalid,2023-05-11T13:57:23,delivered,3,123abc,Hyderabad
O0000315,C00966,2023-10-15T07:07:36,delivered,invalid,card,
9999-99-99,C00509,nan,123abc,1,null, 
invalid,invalid,2025-03-09T23:47:15,N/A,invalid,,N/A
O0000318,C00110,2023-12-25T06:17:28,123abc,1,card,###BAD###
O0000319,C00547,2025-02-06T22:07:20,not_a_date,1,cod,9999-99-99
invalid,C00987,2024-07-22T04:23:30,NULL,1,,Mumbai
O0000321,@@@,2023-03-13T23:42:51,nan,,netbanking,9999-99-99
O0000322,C00566,NULL,delivered,invalid,card,Kolkata
 , ,2025-06-25T12:00:58,not_a_date,@@@,,not_a_date
O0000324,nan,2024-04-27T09:13:55,processing,NULL,cod,Pune
O0000325,C00901,2025-04-12T01:17:55,delivered,N/A,cod,Noida
O0000326,@@@,@@@,processing,123abc,card,Bengaluru
###BAD###,C00716,2024-06-18T16:04:22,delivered,1,upi,Noida
,C00712,@@@,null,32-13-2025,32-13-2025,Bengaluru
not_a_date,invalid,2025-03-31T06:40:19,nan,1,card,@@@
O0000330,123abc,123abc,processing,1,netbanking,Hyderabad
9999-99-99,C00812, ,32-13-2025,###BAD###,32-13-2025, 
O0000332,32-13-2025,2024-11-01T09:12:05,delivered,2,N/A,Hyderabad
N/A,C00898,N/A,processing,1,netbanking,9999-99-99
O0000334,C00998,2025-08-05T06:16:44,processing,null,NULL, 
O0000335,C00633,2025-05-28T19:16:09,nan,32-13-2025,upi,@@@
not_a_date,C00970,2023-08-29T00:45:33,NULL,1,cod,not_a_date
123abc,C00122,2024-04-04T22:13:12,processing,not_a_date,upi,Chennai
O0000338,C00765,2025-10-09T12:08:27,processing,9999-99-99,netbanking,nan
123abc,@@@,2024-01-23T13:11:26,cancelled,invalid,card,Chennai
O0000340,not_a_date,null,processing,1,upi,9999-99-99
invalid,C00088,,N/A,1,cod,9999-99-99
123abc,N/A,invalid,delivered,1, ,Delhi
O0000343,C00571,###BAD###,delivered,1,9999-99-99, 
 ,null,2024-06-03T16:39:24,delivered,1,cod,Pune
O0000345,C00136,123abc,delivered,NULL,cod,Pune
O0000346,C00899,N/A,delivered,1,cod,Bengaluru
nan, ,@@@,9999-99-99,invalid,,Pune
nan,C00949,2025-05-30T09:57:56,delivered,@@@,upi,Pune
invalid,null,2023-12-04T10:47:31, ,1,netbanking,N/A
O0000350,32-13-2025,2024-01-22T04:03:14,delivered,123abc,N/A,Chennai
nan,C00168,2025-08-14T13:07:57,null,not_a_date,card,Noida
O0000352,C00366,2025-09-20T14:31:07,processing,2,32-13-2025,Delhi
9999-99-99,C00358,2023-07-11T06:55:18,delivered,not_a_date,invalid, 
O0000354,C00577,2024-03-10T18:00:33,cancelled,1,nan,Hyderabad
O0000355,C00943,2023-06-07T07:49:31,delivered,1,upi,123abc
O0000356,C00292,2023-09-07T12:23:37,32-13-2025,1,@@@,Pune
O0000357,C00158,2023-03-01T02:29:53,nan,nan,,Noida
O0000358,###BAD###,null,delivered,1,card,Noida
123abc,C00333,123abc,returned,2,upi,###BAD###
not_a_date,C00818,N/A,shipped,1,,Delhi
O0000361,123abc,2024-06-06T05:15:49,processing,nan,card,Mumbai
O0000362,C00873,123abc,delivered,1,123abc, 
null,C00306,###BAD###,processing,###BAD###,netbanking,N/A
O0000364,C00682, ,delivered,@@@,9999-99-99,Noida
N/A,invalid,NULL,returned,2,netbanking,Hyderabad
O0000366,C00646,2025-05-22T02:02:32,123abc,1,invalid,null
nan,C00664,null,32-13-2025,3,card,123abc
null,###BAD###,2025-06-14T02:58:51,delivered,2,null,Bengaluru
null,9999-99-99,null,delivered,null,null,Delhi
nan,C00940,@@@,,not_a_date,,Noida
O0000371,C00677,2024-06-02T11:16:37,delivered,1, ,Delhi
O0000372,C00759,2025-08-05T05:50:11,processing,1,card,9999-99-99
O0000373,C00427,nan,32-13-2025,@@@,cod,Chennai
O0000374,C00350,###BAD###,delivered,@@@,upi,@@@
O0000375,C00445,2023-02-06T00:25:07,delivered,1,nan,Noida
O0000376,C00709,2025-04-09T21:47:38,9999-99-99,null,invalid,Pune
O0000377,C00708,2025-03-19T09:05:08,nan,,netbanking,Delhi
O0000378,C00836,2023-02-02T22:12:54,invalid,NULL,cod,123abc
O0000379,N/A,2024-05-10T13:53:40,processing,2,netbanking,Delhi
NULL,9999-99-99,32-13-2025,###BAD###,,netbanking,9999-99-99
nan,C00757,9999-99-99,123abc,1,9999-99-99,not_a_date
O0000382,NULL,invalid,not_a_date,1,cod,123abc
O0000383,C00869,2025-10-12T23:37:38,delivered,,upi,Mumbai
O0000384,C00500,invalid,null,123abc,cod,32-13-2025
invalid,C00732,###BAD###,32-13-2025,2,card,invalid
9999-99-99,9999-99-99,2025-05-04T15:07:31,delivered,2,upi,9999-99-99
O0000387,C00715,2025-06-12T00:10:18,delivered,1,@@@,Pune
123abc,###BAD###,2024-04-20T16:14:37,9999-99-99,1,upi,invalid
null,C00135,2024-08-23T23:45:24,9999-99-99,2,123abc,invalid
O0000390,nan,2023-11-28T19:13:18,delivered,2,card,@@@
N/A,null,9999-99-99,nan,###BAD###,cod,Noida
O0000392,NULL,2024-04-25T06:35:03,shipped,###BAD###,upi,Chennai
O0000393,C00366,2023-11-21T05:52:55,123abc,123abc,card,Delhi
O0000394,C00346,2025-05-31T03:39:14,null,9999-99-99,netbanking,Noida
O0000395,NULL, ,cancelled,nan,N/A,9999-99-99
###BAD###, ,null,,N/A,cod,Delhi
null,C00999,2023-08-05T19:39:50,processing,2,card,NULL
O0000398,C00520,2023-08-04T05:40:07, ,N/A,9999-99-99,
O0000399,C00746,2024-08-21T22:28:48,nan,2,9999-99-99,Bengaluru
O0000400,C00663,nan,delivered,2,netbanking,Noida
O0000401,C00993,9999-99-99,9999-99-99,invalid,9999-99-99,Chennai
 ,###BAD###,null,9999-99-99,2,cod, 
O0000403,not_a_date, ,delivered,9999-99-99,###BAD###,@@@
O0000404,C00822,@@@,@@@,123abc,upi,Mumbai
O0000405,not_a_date,null,delivered,1,card,Delhi
O0000406,C00347,2024-10-06T12:49:10,123abc,2,cod,null
O0000407,C00677,N/A,not_a_date,1,,9999-99-99
123abc,C00412,nan,123abc,32-13-2025,card,Chennai
O0000409,null,,delivered,invalid,cod,Pune
O0000410,C00909,2025-04-08T06:56:19,N/A,NULL,upi,@@@
O0000411,NULL,2023-09-16T16:34:18,delivered,1,upi,@@@
O0000412,C00776,@@@, ,3,not_a_date,###BAD###
NULL,C00853,2024-09-14T23:27:32,delivered,3,card,Pune
O0000414,C00266,9999-99-99, ,1,32-13-2025,123abc
O0000415,C00306,2023-01-11T14:21:15,,1,netbanking,Pune
nan,@@@,2024-08-05T21:50:52,delivered,1,netbanking,Hyderabad
O0000417,C00533,invalid,nan,1,upi,Noida
